Comment,Designator,Footprint,LCSC,Quantity
Conn_02x36_Odd_Even,J15,PinHeader_2x36_P2.54mm_Vertical,,1
Conn_02x36_Odd_Even,J13,PinHeader_2x36_P2.54mm_Vertical,,1
NUCLEO-H753ZI,U1,ST_Morpho_and_Zio_Connectors_144_STLink,,1
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
INTRPT,J5,PinHeader_1x02_P1.00mm_Vertical,,1
10k,TH4,Heraeus_TO-92-2,,1
22pf,C30,C_0805_2012Metric,,1
PWR,D15,LED_0603_1608Metric,,1
ACM_CTRL,J1,PinHeader_1x03_P1.00mm_Vertical,,1
300,R92,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
LCD_display,J4,PinHeader_1x04_P1.00mm_Vertical,,1
10k,TH5,Heraeus_TO-92-2,,1
THRM_E,TP7,TestPoint_Pad_1.5x1.5mm,,1
LED_PWR,D60,LED_0603_1608Metric,,1
CAN,J2,PinHeader_1x03_P1.00mm_Vertical,,1
300,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
RXD,D63,LED_0603_1608Metric,,1
FAIL,D17,LED_0603_1608Metric,,1
THRM_B,TP4,TestPoint_Pad_1.5x1.5mm,,1
THRM_A,TP3,TestPoint_Pad_1.5x1.5mm,,1
OK,D16,LED_0603_1608Metric,,1
7SDD_CTRL,J3,PinHeader_1x03_P1.00mm_Vertical,,1
INA219AxD,U13,SOIC-8_3.9x4.9mm_P1.27mm,,1
CH340G,U38,SOIC-16_3.9x9.9mm_P1.27mm,,1
TDM_PMS_I2C,J7,PinHeader_1x02_P1.00mm_Vertical,,1
TXD,D62,LED_0603_1608Metric,,1
300,R88,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,TH3,Heraeus_TO-92-2,,1
10k,R28,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
USB_A,J21,USB_A_CNCTech_1001-011-01101_Horizontal,,1
10k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R30,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22pf,C31,C_0805_2012Metric,,1
AUDIO_OUT,J12,NS-Tech_Grove_1x04_P2mm_Vertical,,1
10k,R26,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R41,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R38,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R40,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R39,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
LED_PWR,D7,LED_0603_1608Metric,,1
FAIL_RST,SW1,SW_SPST_FSMSM,,1
10k,TH1,Heraeus_TO-92-2,,1
INA219_CONFIG,J11,PinHeader_1x02_P1.27mm_Vertical,,1
10k,TH2,Heraeus_TO-92-2,,1
300,R89,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1uf,C5,C_0805_2012Metric,,1
DAC_R_TP,TP1,TestPoint_THTPad_D2.5mm_Drill1.2mm,,1
DAC_L_TP,TP2,TestPoint_THTPad_D2.5mm_Drill1.2mm,,1
22pf,C29,C_0805_2012Metric,,1
FAIL_RST,SW2,SW_SPST_FSMSM,,1
1k5,R90,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
THRM_D,TP6,TestPoint_Pad_1.5x1.5mm,,1
LED_PWR,D32,LED_0603_1608Metric,,1
LED_PWR,D61,LED_0603_1608Metric,,1
10k,R53,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
300,R50,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
USB_A,J29,USB_A_CNCTech_1001-011-01101_Horizontal,,1
300,R91,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
WARN,D18,LED_0603_1608Metric,,1
THRM_C,TP5,TestPoint_Pad_1.5x1.5mm,,1
12MHz,Y7,Crystal_HC49-4H_Vertical,,1
10k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
UART_DEBUG,J30,PinHeader_1x03_P1.00mm_Horizontal,,1
